<PAD>	1000000000
<UNK>	1000000000
<S>	1000000000
</S>	1000000000
的	4303
不	1487
人	1251
他	1164
说	1041
为	866
在	836
是	802
曹操	769
我	757
都	673
有	629
和	598
能	544
了	544
就	499
而	494
与	491
一	476
等	460
到	452
他们	428
被	427
将	410
对	407
又	389
于是	365
去	332
向	327
袁绍	325
没有	323
这	318
把	310
将军	307
会	295
要	293
中	291
刘备	290
郡	280
也	280
以	271
自己	269
个	259
后	258
朝廷	257
派	257
之	250
军	250
任命	248
您	247
上	246
太守	243
天下	236
时	233
来	232
你	224
董卓	219
孙权	207
用	202
并	193
但	190
还	189
三	189
百姓	189
再	186
大	179
年	179
进攻	176
让	176
可以	173
如果	170
吕布	168
很	167
余	166
所	165
便	163
各	163
才	161
使	157
军队	156
却	155
从	155
如今	154
地	154
给	153
已	150
李	149
多	141
应该	137
我们	137
着	137
杀死	136
刺史	133
想	131
灵帝	131
桓帝	129
们	128
现在	128
袁术	127
皇帝	127
只	127
月	125
洛阳	123
率领	123
认为	121
州	121
陛下	120
关羽	119
曹	118
儿子	117
所以	115
两	115
全	114
命令	113
担任	113
刘表	112
率军	111
校尉	111
则	109
将领	109
献帝	108
这样	107
部下	106
十	105
孙策	105
未	105
国家	105
袁	104
请求	103
日	103
死	102
知道	102
因此	101
公	100
进行	100
讨伐	100
打算	97
吗	96
次	96
太尉	94
宦官	94
家	94
数	92
荆州	92
全部	92
得	91
上书	91
下诏	90
下	90
什么	90
天	89
过	89
可	89
因	88
一定	87
官员	87
正	87
大军	86
公孙瓒	86
无	86
于	85
已经	85
先	83
发生	82
种	82
派遣	81
当时	81
因为	80
虽然	79
刘璋	79
杀	79
敢	78
王	78
此	78
投降	77
作	76
听说	76
得到	76
做	75
地区	75
封	74
作为	72
天子	72
诛杀	72
骑兵	72
部	72
亲自	72
命	71
尚书	71
受到	71
段	71
怎么	71
太后	70
里	70
如	70
五	70
呢	69
肯	68
事情	68
及	68
部队	68
刘	68
县	68
推荐	67
见	67
官吏	67
到达	67
应当	66
事	66
以及	66
南	66
兵	66
士兵	65
由	65
回答	65
